epoch,acc,loss,lr,val_acc,val_loss
0,0.10769347726949827,2.3019376902879691,0.0010000000475,0.10000000000000001,2.3033836372375487
1,0.10834727079260761,2.3019798722367928,0.0010000000475,0.10000000000000001,2.3033930862426759
2,0.10805838528227005,2.3019890924128643,0.0010000000475,0.10000000000000001,2.3034535888671877
3,0.10805838528227005,2.3019766527485914,0.0010000000475,0.10000000000000001,2.3034132225036621
4,0.10834727079238105,2.3019542903908845,0.0010000000475,0.10000000000000001,2.30345989112854
5,0.10808879428492031,2.3019471240438767,0.0010000000475,0.10000000000000001,2.3034210380554199
6,0.10787593127611073,2.3019521413103905,0.0010000000475,0.10000000000000001,2.3039179496765136
7,0.10834727079215448,2.3018720158403978,0.000316227786243,0.10000000000000001,2.3035101081848146
8,0.10834727079260761,2.3018391248500869,0.000316227786243,0.10000000000000001,2.3033448074340819
9,0.10834727079238105,2.3018428557075339,0.000316227786243,0.10000000000000001,2.3033514541625975
10,0.10834727079260761,2.301840706192035,0.000316227786243,0.10000000000000001,2.303441425704956
11,0.10834727079238105,2.3018384013437694,0.000316227786243,0.10000000000000001,2.3033988067626954
